,liver-apap_1,liver-apap_2,liver-apap_3,liver-apap_4,liver-apap_5,liver-ctrl_1,liver-ctrl_2,liver-ctrl_3,liver-ctrl_4,liver-ctrl_5,liver-mda_1,liver-mda_2,liver-mda_3,liver-mda_4,liver-mda_5
A1bg,2.21408054148942,2.08871434237393,2.56764757503148,2.4967243790940152,5.62988611220925,62.60252506213149,11.842645181518831,9.33954457593922,10.1246060618433,6.8868100549964,0.4299485120409564,8.61975743699615,0.4442266959069025,3.755520127507855,1.31654904793674
A1cf,795.1311461231551,497.75651510037903,774.675596063146,622.711242483116,904.092085754704,265.02689984572703,397.154185673581,357.365992093762,433.101659179491,516.388456864355,439.603736421028,444.817365937169,614.116883222863,247.432149611446,469.71536349537496
A2m,216.1284966286036,716.19824506207,335.9065235426725,73.407234721357,229.560747911553,8.6777149229791,15.0354057311316,31.725275539196247,26.2095911144173,38.033612798672,166.76466293124702,105.095178799316,143.728225390138,160.56744249334,204.890099374859
A2ml1,10.4588195225672,11.6550319239912,3.6678965810564703,4.34883237755098,4.490715367785071,2.29483933758578,3.91631384102592,2.47518092353274,5.63064642989852,7.67575680733496,7.663366343347759,7.80936222275109,4.93805715463694,3.57386553330073,14.5724067432393
A3galt2,18.8590424837743,28.778915517557696,14.7664893963398,24.2435947390365,17.3028122904261,6.56924850925856,2.42007496062154,6.28461387013608,6.41892848681309,3.33042799472121,9.02974429285214,5.2447803137915,16.292677856243202,17.5033825800575,22.0872018246736
A4galt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4gnt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaas,233.22815289072105,231.316420439464,201.79957237944305,181.908805647786,173.166095262677,59.23144868224711,54.5362002470679,67.9088530661024,61.6309166390366,72.5196869433622,82.0164027069972,88.42846766045142,93.3908980550156,97.9842483896162,110.902415997097
Aacs,28.3586692919144,38.3196593248034,37.1272628580108,14.1089514327448,19.2234815813699,47.6101470689054,27.950070254000803,27.5324273919707,32.4255958462769,40.5421311770075,140.983983781869,201.09715678956903,331.746803373435,278.754786260915,429.698714709566
Aadac,131.602190676327,76.4591656168119,279.11561902147497,261.789639083692,439.783478191005,286.295885966751,358.832534844782,421.384956065915,599.5650185765161,490.60704289846,288.102142474735,432.35678219831,496.723148589771,107.35322794839,327.519295548971
Aadacl3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aadacl4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aadat,210.41801930014984,151.03691180227725,262.9358740274982,206.45282740486243,304.3302345603055,203.71425349836585,475.1154040709407,373.4000414845181,552.757833417025,440.9771596836967,478.1550821969814,375.3043784535921,423.434580473629,184.35547309160177,497.4293462254109
Aagab,155.832982484689,199.732167115219,169.876114719381,104.663146028877,129.497041133112,71.77409759431029,76.3295511512559,71.80928226669141,54.88985453549021,95.86285592158708,156.789456822195,178.210333359645,188.881167167658,113.600685940247,188.435039941904
Aak1,18.5295035125878,18.6970811607078,20.5311288880238,10.087510418567302,14.8694949666732,9.31433171572441,8.2316624625095,7.60896572161337,6.448080592177511,11.874828829463,12.159038614811498,11.836744144704,16.7208665446596,8.43187984280043,15.4320270067826
Aamdc,65.13432369126299,51.9077002447379,42.6800127218235,58.155920851496106,83.09326497024101,118.156631988029,124.246469186315,74.76328517755059,132.051723602352,115.458707004396,112.29906708071998,125.256730546937,109.214680643419,62.4618777103512,92.42374912496192
Aamp,12.97148333066395,10.10479813284928,14.531304954498443,2.283039602648735,7.045108975744935,0.0,2.2882062225424,0.0,5.251446568554625,13.4844827792472,7.06091639384839,11.22293416459445,15.5606053446647,2.607103828979665,1.378842729115575
Aanat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aar2,52.56562026351984,52.87344173915309,54.72121271329326,50.9702073463995,57.4805801269965,35.20938819201464,32.65650085019878,39.21476789727897,38.65844148127465,43.37122747591105,51.80803086241316,63.40132939223574,63.23477824573565,43.84867358566575,57.36097226768509
Aard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8627382671726,0.0,0.0,0.0,0.0,0.0
Aars,1294.0602030719472,941.0946378123284,985.51106371786,1276.9573360791037,997.1936998658095,732.21268403774,554.266072823922,655.103928259321,586.4962609546476,673.2039960717491,514.621812019898,605.499077198838,724.541601984125,776.6160690042,735.4838601884175
Aars2,76.7406146254117,53.299702884572895,69.45740138036139,53.7328161477354,67.4808740969869,32.982692588049005,40.669841232828105,27.384778064799104,33.0860193933231,33.9721614743467,59.1040865406175,53.314536949712895,78.45367233311849,41.33062080563021,59.8420106885293
Aarsd1,182.41277805257,185.886209944864,167.880983787291,160.042986849692,166.963195384476,115.217659912771,76.5830343834894,101.648826072283,86.29467030097359,93.373043154152,88.09797372408909,105.170904784783,133.87129622093,111.855829916255,110.322102294515
Aasdh,33.4746813251066,31.331409731949897,36.49606657867911,18.712982078633896,31.7562308307796,9.11986758326086,28.0386048508315,13.0162913824749,22.149849524664603,33.0339429993032,28.3981022553787,40.8040210892586,30.7829282948315,27.106935369042603,22.5635536190042
Aasdhppt,420.25743101891504,461.787822333408,815.0534289099401,621.245307901994,585.100920146774,300.116895814421,330.360672460762,411.684017583582,408.12622330141295,457.9145157991901,424.854468958778,510.0717984927781,566.056169603984,261.339733383221,614.359692649204
Aass,1420.51271271345,1164.96940563529,1117.06351722855,480.000836135453,1103.80171575431,1168.64148329284,1377.38951966414,1461.6318844759803,1413.35168768803,1167.56672641224,1486.09109413143,1201.35950334633,1736.76204295522,869.073457517853,1171.73340585477
Aatf,158.788486519279,170.090552418009,174.766103830933,156.971984291923,120.190509353734,41.0089964373372,51.74982440121671,62.89626694662729,66.2844940314493,55.8014909302495,101.69028330835,106.982161902956,114.287775897115,87.9408802853877,111.378201935348
Aatk,5.34584638207227,6.0335374463977,3.66366857232092,3.0818692764856297,4.80798169802474,3.7787945071285294,2.81955010738272,1.08458952092608,3.33043692329939,5.830251047913599,4.50591867960043,3.61072104184025,6.78564386330629,4.90875805844431,6.748894731098581
Abat,264.228271127879,246.616420331926,295.858673383171,325.37339291565,586.4298933280439,993.9263027439802,1004.79505552852,1055.37338678496,959.6043933912,1021.31153520295,706.88344149987,704.7792393384759,755.9964499552451,565.097596185622,842.742233763972
Abca1,188.62447973051,159.71354618881398,153.234963521397,166.121115794893,164.463729562764,140.709594118324,115.578969902268,143.917476938574,136.612664617679,147.608392299809,136.512300731351,145.42726815690202,180.541829303639,126.558511177104,152.210645431324
Abca12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abca13,0.0,0.0,0.0,0.0,0.2830897947190769,0.0,0.0,0.0,0.0949982110622789,0.0,0.0,0.0,0.0,0.0,0.0
Abca14,0.0,0.0,0.8621993020653629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abca15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abca16,5.915349344463196,1.5158775827321551,4.91185711816602,0.7667712121260749,2.29747039989723,1.7175747488708275,1.4679401029474644,2.840364249218175,2.76736201146616,4.240706518334255,2.5307049859522097,2.21222573133479,1.014675396780917,2.001340834551,3.9495056797902857
Abca17,0.0,0.7173706815888541,1.69802887471666,0.2353033089968219,0.2424804280005889,0.2193380333940969,0.7243186899883349,0.2370394696694069,0.241990999089584,0.7386287774812821,0.2442384347095849,0.259246327623232,0.7522883719200542,0.4730840364945061,0.495208948188098
