	Alveolar-Type1	Alveolar-Type2	CD4+T	CD8-CytT	Ciliated	Fibroblast	Mast	Monocyte	NK
A2M	4.666456321033247	7.380154267667172	8.990410628084257	8.400272437656529	4.233925169837292	14.948723526324011	8.240066320953591	8.915003848361334	9.578532898042718
AAK1	4.252062647885555	7.852501669568759	11.104698271193085	10.713293712033025	3.8746614425760084	8.059743168257198	8.435068182534485	9.552743900561529	11.67372865945519
ABCA3	7.836708225509438	12.964995365651186	6.534440860930236	6.744220915034113	6.24586640484224	5.990506874870776	7.291010048069391	6.593720165405195	7.8841873733520496
ABCA8	5.060675614940179	3.5335887633437006	4.684138513660648	2.028821849218114	0.49087954251522503	11.189354494755348	3.3832876303621227	4.269336619259416	4.4413356037303515
ABHD17A	5.212585135263426	8.331646419531111	9.493746592692752	10.415883073665857	5.745376834318116	8.034133986867314	7.112067981265252	8.638960293537378	11.945829405822005
ABI3	3.6065240732872743	6.1854614240590164	9.11672977208119	11.149550259479739	3.0029789729405247	5.431633923619115	6.963744141622702	9.24088671380497	12.91600743847271
ABI3BP	5.49975393426342	3.478091039394982	4.758897425469134	5.3586793293262485	2.566430871143865	11.123191534028631	4.709113486603379	5.30842058333948	4.097663885478809
ABL2	3.9267893625281762	7.203954614963114	7.420414355206287	6.582562626390113	5.1194601419666865	9.524811032148065	8.075214225497586	11.549842701811272	8.701074918985714
ABRACL	6.1625611186842235	9.909649664685686	12.364165030096013	11.728658626117655	5.867798584683526	9.000161307956517	10.489435459239735	11.715566352805071	12.735757394854144
ACADVL	7.417781812659656	10.418542797413167	10.424963960516891	10.634703796780153	7.0294893281744875	11.143443612027196	10.26667341585322	10.4428087551062	11.903601675167089
ACAP1	4.198462250552866	6.231124197618453	12.883658996861094	12.473723580286544	6.552566495388222	7.367010084613444	8.944292674300724	9.169040979752623	13.183740509547137
ACAT2	6.25262919906406	10.737986165264552	9.34604672080385	8.90920267450177	6.150571861448257	9.400470685927118	7.159469142089981	9.178032366326905	10.117621285493556
ACP1	6.817065896112216	11.096145078515711	10.567171693792147	10.451419772274772	7.386481009493252	10.533926156590077	9.184219932875274	9.905457152290587	11.844049420318804
ACSL1	4.911413225116949	10.443725987122352	7.359450801485739	7.344928246823179	5.19789015405196	7.553690724732629	5.8322671163536395	12.508561858763334	8.151423227670868
ACSL4	5.877082372204842	10.295268667504612	7.446407357514967	7.613297004358226	3.392756759567036	8.141068096063897	10.911082441869741	9.564921515919766	8.485476056688416
ACTA2	3.193110948129676	6.414097807233917	8.548173416736326	8.610718514955533	4.971278947462759	11.900323431381745	7.581547916968546	8.655012225750033	9.393385609122394
ACTB	12.543752987498891	14.751978047103938	16.73476597440021	16.857204322153574	10.97669406751343	15.866707592061944	14.816136771076357	17.28170911547084	18.16469106196923
ACTG1	10.882097656464794	13.246709131961854	14.812650336446412	14.920904694238828	9.918177197886173	14.949654796984179	12.71761169738031	14.519961694719738	16.13971481340405
ACTN4	7.7464222813129	10.799158072313068	10.676718391567405	10.816467471561278	7.746483552273513	9.285165842585432	9.683923085579966	10.157120280527636	12.181134953119725
ACTR2	6.445973784762319	9.873791055871008	11.425609574175715	11.335351383535274	6.750948246958033	9.969349895851158	10.039597801353136	12.19160746404515	12.681216314300244
