,B cells,CD4 T cells,CD8 T cells,NK cells,Monocytes,Other cells
ES740463,0.0579,0.3181,0.2613,0.1018,0.21289999999999998,0.048
ES740496,0.053099999999999994,0.24480000000000002,0.3772,0.122,0.15560000000000002,0.047400000000000005
ES740562,0.0246,0.2133,0.2293,0.22899999999999998,0.2084,0.09539999999999998
ES740637,0.0336,0.3893,0.38789999999999997,0.10830000000000001,0.0518,0.0291
ES740640,0.029300000000000003,0.30760000000000004,0.446,0.057300000000000004,0.10369999999999999,0.056100000000000004
ES740691,0.0233,0.38049999999999995,0.2304,0.1906,0.1072,0.068
ES740706,0.03,0.35700000000000004,0.3953,0.059000000000000004,0.1207,0.038
ES740712,0.07139999999999999,0.18600000000000003,0.1791,0.16760000000000003,0.3031,0.0928
ES740724,0.053099999999999994,0.2159,0.4439,0.1578,0.09849999999999999,0.0308
ES740772,0.032799999999999996,0.45399999999999996,0.25370000000000004,0.056299999999999996,0.16570000000000001,0.0375
ES740790,0.0713,0.49060000000000004,0.2217,0.0529,0.1234,0.04019999999999999
ES740871,0.0363,0.2281,0.38939999999999997,0.1602,0.1542,0.0319
