,ANIT_1,ANIT_2,ANIT_3,ANIT_4,APAP_1,APAP_11,APAP_2,APAP_4,APAP_6,APAP_8,CCl4_1,CCl4_10,CCl4_11,CCl4_12,CCl4_5,CCl4_6,CCl4_8,ConA_11,ConA_12,ConA_2,ConA_3,ConA_4,ConA_5,ConA_8,Ctrl_1,Ctrl_10,Ctrl_12,Ctrl_15,Ctrl_16,Ctrl_17,Ctrl_18,Ctrl_2,Ctrl_3,Ctrl_4,Ctrl_7,Ctrl_8,Ctrl_9,GAL_2,GAL_4,GAL_7,GAL_8,MDA_1,MDA_12,MDA_2,MDA_3,MDA_4,MDA_7,MDA_8,TAA_1,TAA_3,TAA_6,TAA_7,TAA_8
0610005C13RIK,3490.35646909331,4142.885927191141,2323.2430220672586,5045.553875146905,2998.523862025504,2432.0406994087466,3157.0372413641767,3377.86747299325,3812.120343586113,2713.2689994445464,1024.384058150131,1373.634712261137,1874.7855987620928,1669.83072345933,1247.4656256596109,1156.8579028666225,1344.8915097314582,480.1208150318914,414.8052777783898,1091.472814009526,1493.8276092021886,1025.8815245559806,1037.701833496163,1078.512077269268,3195.503085663856,4213.95559425868,4091.262473749257,3434.7429389492763,3805.2348387825896,2946.607135825553,3681.9801025018014,3752.53648405087,3752.53648405087,3681.9801025018014,3620.02816660495,3681.9801025018014,3738.192042923808,962.8235628054448,436.92820542010656,335.93337674926784,539.5326861602078,5193.977579208072,3775.675975925723,3687.321862724737,3672.0734078173336,3546.9051916810604,3838.62474053866,4840.460643457524,1665.065768540387,1542.4427088180623,1303.6961830473408,1185.2951836163356,783.7364628190161
1810055G02RIK,857.1119408035335,2147.2170135137712,1907.562196760496,2339.4792102304746,4499.629644542388,1402.6742683761424,519.9769663640088,639.8312633825882,593.7100545462895,3178.78763198728,406.428671547948,161.82483754281162,285.0990941068786,152.8376111689143,370.6582837036283,390.72639138545605,515.1865099985085,1942.769855144388,2696.5613504839343,2264.5306247576527,3095.916447791756,2196.1372471793497,2295.170863275913,2132.550862553928,620.6081134898976,282.73108445254195,603.4176765065799,548.4104042244917,496.385922731698,0.0,355.80514531925985,714.2956016736343,854.5589702970731,644.4495270985126,553.0964260592846,744.5100189684422,605.9375372561551,339.0915316779924,461.3417322894316,557.4955346087595,346.83672752814823,1678.612089569555,1294.965695807815,1009.6105813974102,773.8901810683041,759.447530131491,1159.2276078117422,2289.3456411585626,2235.0050339592417,1530.1185616924197,1730.3177805327318,1161.6289645984716,1778.959788486689
2410006H16RIK,670.7229158468831,683.8784134852502,959.951373619612,796.574445577235,2603.0400123746726,460.16665521126015,708.494758468129,697.3536674273454,695.9124405869843,323.76562660159254,4312.877673020326,3141.8806273829928,2990.96815168814,4485.487600570807,4415.529950584008,5121.309860984604,4169.806037879844,607.3297411123389,2837.104654090795,1328.5236144694536,1173.7370621528662,1521.3175600452976,1775.491440119453,2083.0745939781077,502.20464170262096,180.46915159137575,89.27828943982982,0.0,94.06906377565858,0.0,56.7552551382975,530.6053814090645,527.3924523602138,486.9914626598009,400.8758459495151,503.62250043291135,536.8638070178058,933.6523098011832,1966.365316537704,1878.963404888876,1996.9533523336368,905.9728869119568,417.8443321586117,583.4097209112048,810.3589558106053,693.9907993073562,659.9161391673715,465.6714540450592,1015.7803918628748,1841.177987403781,2865.8114507465366,2713.2689994445464,2828.6621132360774
9530034E10RIK,96.89351097417403,40.52152326336278,47.7324856960436,41.40519685739413,102.74401797301756,0.0,79.4684209047179,47.97812117221773,83.8622398358444,0.0,858.6931882805677,1047.433011974376,1086.7526789902286,903.4241272623768,1008.8060715356628,1145.7140344252869,1338.8972061612185,0.0,0.0,76.02028994789029,79.51840687434259,61.686731446059056,39.37253789445746,50.84972458090854,59.45392512731951,0.0,0.0,0.0,0.0,0.0,0.0,41.15512173019599,74.79856096677749,41.82984328727613,1.210403872247578,1.1962079269318426,1.363831270744536,98.28649741885012,68.49739357452297,61.686731446059056,58.53142586915986,45.28890150682008,0.0,65.88865898188288,96.55025663070651,86.76585258873385,75.15478139774444,0.0,0.0,32.4613885109531,2.3941136948005592,0.0,0.0
AACS,3681.9801025018014,369.0559638745037,1608.7799791993812,310.6966329975081,314.0733088800827,790.4113150342262,232.4337497959812,258.4539137597253,831.8056279720524,579.3840029304961,2284.824364372234,820.003789510433,1183.5309041005894,636.1463999612799,953.4262655556372,2330.391493109395,382.2234270083786,0.0010592881278009,487.8442956614521,336.9040802994414,350.1565191092485,1024.1769972890436,230.34132649648396,283.3530748769883,3079.4847488730056,321.9409703783548,18.60826550500604,2368.1655680116573,3909.205868555008,1966.365316537704,1675.648949964365,744.5100189684422,3591.10400222551,2696.5613504839343,443.1006212865344,261.8685836884934,276.93162103220703,2656.5509708222585,1146.6280531251082,281.02569894160524,392.6990740671095,387.0763509021174,588.9983859287487,1015.4608398996136,1868.3976223360423,2671.8481951611693,3444.416338979013,676.5965749587158,0.0004784903153285,2461.0459968733862,402.9943638195669,100.1253347022181,630.6995693910691
AADAC,5324.7941508092335,2808.574208926192,2863.332218694868,3458.672646125368,2713.2689994445464,2284.88472619146,4663.55319197754,3837.832913904828,3270.243846216134,1818.9564723981264,2424.229786796121,2565.6808676588453,1675.3353937535596,2944.6306186596216,1953.180922721012,1987.2787703605445,2295.170863275913,2784.3803355542564,1861.2137742866016,1818.9564723981264,1948.863628261218,2313.483762467597,2723.205451906635,2577.547737115482,7806.196799870604,6424.893884690528,7240.334354542274,5959.607556222511,3353.8954089316444,7709.413331431232,3974.060135775514,8295.209040083959,4513.112913822337,5854.8738480908,6613.9601468141445,5695.404717227294,7187.682205848199,1234.7210343470429,1544.291233270793,1457.727587108433,1457.727587108433,3222.359125481019,4129.834978333986,4129.834978333986,5580.190991921449,4554.573954783391,2733.8210699415163,4153.689951314007,4140.642234050628,2498.15642025292,2955.257629176863,3288.825599317761,2989.798389697861
ABCB11,4808.831975176548,1115.3587327380594,2157.8643470820475,698.0698944562386,501.788359010232,47.7324856960436,1076.289628467007,1138.7224356761317,1126.6663681876987,0.0,1488.358994776244,1940.92846369266,1021.8090961861338,1813.0443106426276,1249.4878956489486,1259.3800108948478,1287.6716338648034,0.0011273536919903,0.0,657.4467373300284,643.2626915234725,566.3285188079942,574.9105743919422,559.7231177262165,2129.5756562267543,2603.0400123746726,2830.93364004934,2251.2313488084114,1453.8044277426982,2694.8151281617397,1845.7847193157809,2376.4207103627555,1927.8670142217509,2018.0141655077744,2461.0459968733862,2148.190706263938,2868.5548967968134,352.1926167697866,290.3775637689213,286.3275355075231,240.37625730254496,1001.2543940207484,4264.71284788848,2970.02224544893,4522.80742470271,5045.553875146905,3876.858787056058,1989.3619468104453,675.7047887001114,158.27201705598705,379.6210071261848,538.9488287507636,282.73108445254195
ABCC2,2313.483762467597,1512.4281191305315,1637.1322895533303,2110.3953632493403,833.9411898142629,1038.3084852909467,1449.4936439067735,2129.5756562267543,1909.9843781117304,784.0235547962484,3916.962793191855,4967.68036507689,3490.4152443381345,4163.192698856923,3696.4361330458414,4189.573537771171,4335.585455547195,354.8792756859229,197.93245346495988,208.0786074389585,400.8758459495151,287.55274278123017,302.71876503973385,385.5287941190097,1421.2382484743544,2427.2603005014203,2543.4653261978424,1620.0012137678416,1494.7937059780677,2148.190706263938,1474.0236497906467,2413.664727417493,2069.370004170705,2278.196579488353,2307.4407192444087,1907.894769759232,2300.997506520138,4228.091837716384,5468.246246445032,5019.286142514386,5742.176121167345,2340.9707116025647,2033.4400754242813,1272.0224094153791,2408.237159534863,2017.4496362563584,2313.483762467597,1814.228810547424,1401.4134307452869,1088.9237549020786,1103.7158131053184,1348.1213337676536,1436.82638143374
ABCC4,122.43541365168952,71.02474778848338,57.34442580761714,80.4540538366778,97.68171356966026,0.0,136.0518454748886,142.5101916885837,172.17073041360777,2.39532687992978,809.4562298197975,937.3325016146728,1139.7463288989295,1024.365263614371,1106.7435772779072,1222.5072193878757,1155.3244594316625,2.226183387401961,3.2835204000961724,52.97467402496183,48.299624005833074,34.114734841988096,27.65372926980801,42.48994978064194,36.10313589754438,9.03459592689337,9.45679753972249,13.175557308038725,15.14820199777868,0.0,9.17830213672804,18.21299245600141,33.707743431087096,28.43173837580285,0.0,0.0,0.0,445.5207450154964,404.91213258730585,230.94301283557783,366.0688112524356,66.98406774103162,33.4408908829616,69.39432459572441,89.1120601749142,99.20569267909444,70.35169571938943,51.98657971162423,34.54766636567982,8.854549572381003,5.673401031637449,3.470349115609185,9.685104826813602
ABHD14B,2337.87158848169,2570.772509720468,1245.334162480871,2162.601167477412,1463.0127939771712,1959.5586271920029,2570.772509720468,2728.022738625933,3445.347328556474,1735.7194560070918,1268.4457368356093,754.949542747833,1193.2919362074158,1065.2325918225447,834.3219985634082,1015.7803918628748,1048.085867372,612.7829015644788,272.90227210402355,900.5567375837413,1127.6142070615372,917.4427360621036,725.9103260682484,870.70232920288,4247.922193414584,3701.573884218168,4163.192698856923,3343.621534674953,3520.7582804929257,2860.2260965037667,3780.287240357216,3701.573884218168,4247.922193414584,4189.573537771171,3546.9051916810604,3992.453628306263,3353.8954089316444,1249.4878956489486,1340.9807229606042,957.8880910068746,1027.2120532823,2615.445776458821,1910.7622481342232,1662.5885968547752,2112.537427567314,2464.875546431889,2414.59127848292,1529.2290332309915,1962.505409688792,1344.8915097314582,1521.3175600452976,1679.2430275678298,1599.0202807992114
