,B,CD4T,CD8T,Mon,NK,Neu
A1CF,0.14496314587643885,0.14932874486153608,0.0,2.1759745187042103,0.0,0.17193839561997437
ABCG2,2.792847671692898,2.7804723029182714,2.5139977416600914,5.7676532569126024,3.381524323948732,3.325885678289924
ABI3,9.21652974480271,9.133419638292846,8.999830807831902,11.542353996043047,8.905355853896912,9.56154663315683
ACPP,4.310408340763992,4.987503542836053,4.161071995112643,7.20618306442017,3.831749742940855,5.483633723137485
ACSBG1,0.0,0.0,0.2841500707700053,2.914514742941485,0.0,0.5712072133509492
ACSL1,6.155635528221493,5.828166021981054,5.833429327240085,8.553415919903038,6.588567961134391,6.68977902325571
ACVR1,1.0627967544035293,0.8237357256403298,0.7915569864014759,3.976707626428703,1.309006476889874,1.859215552564105
ADAM8,6.9758174123499375,6.56548366974446,7.087467578155919,7.592989131599282,6.5104194325934674,10.44145734686526
ADAMTS14,4.071233581981309,3.9904097385734847,3.440283677716896,3.08298970050782,7.752127712209319,3.3711550303819564
ADGRE1,7.428901077316223,6.743497912501935,6.982836677780774,11.110265923013163,7.208884616290581,8.674987774694815
ADGRE4,6.038023286958234,5.0779382645562094,5.747206748433227,9.352528883978707,5.39625468105774,6.486242365027593
ADGRG3,3.3492044123956193,2.9140097025494054,2.9555677164520606,5.423583661799429,3.657017421957648,8.772298724430723
ADGRG6,3.8271868881771196,3.4700232276835234,3.2857416379581377,5.4865910876225215,3.689250350213974,3.759005938944391
ADSSL1,5.211791216499467,4.738828443455632,4.774199615020564,7.726712319307179,5.635081822669201,5.940029533716116
AGL,5.8131752999497905,6.079879397932002,6.0353274450131185,8.006180430814439,6.02947410915154,6.26522454028378
AGPAT4,5.269657080495543,4.908255356480932,5.25868514326407,9.120098893926556,5.844547229517433,7.406180140986616
AK4,3.189323819088268,2.8655119841629766,2.812068605470032,7.328727137385764,3.177938552540152,4.889820033250535
AKR1B8,3.6604514786327003,2.9391276309146424,3.243321941599268,6.033731645437062,2.942960014413799,3.8914242061291775
ALOX5,3.5557932528902385,2.908764169788161,2.656904958551354,5.14231101575365,3.099162199987471,8.277768109504768
ALPK2,2.552109555505943,2.0461417724017683,2.0122458686567475,5.622066722366777,2.311254682836242,2.6410680631619474
ALPL,2.4887030060057294,1.7907861207870304,2.20453842026659,2.885611010497892,2.136365607521256,5.969568135407983
AMN,1.043780716327158,0.8091105763599937,1.4954780279630449,0.47507432671267524,3.3577116232179183,0.0
AMOTL2,0.8447699169275282,0.9581923675283315,0.7395152728174208,1.7373062678988829,1.4366125908959284,4.473817220044769
AMZ1,6.718745109354483,5.639550791138954,5.712703459561557,9.698825712125988,6.416039142946859,7.611557788408128
ANGPT1,3.5311489115675676,3.439443773344534,3.601218794199493,8.056629565152194,3.436768699061002,5.694042198324109
ANKDD1A,0.0,0.0,0.0,3.1274139602687785,0.0,0.0
ANTXR2,7.098384688642785,7.213347139523899,6.996395706933472,7.433135453275153,6.585719253678434,10.105052096241959
ANXA1,10.011141250734848,9.628231934857492,9.23524407239681,11.215225920495076,9.768407759271284,13.964373871579934
ANXA5,7.851790420748548,7.54280066162193,7.430589988487325,11.059476447351559,7.633599265315299,9.174886582172679
APBA1,2.5010333417921626,2.1995120548032565,2.1679946392781595,5.869874045731573,3.005677959500291,4.223064306212674
APLNR,1.1386388883662106,1.2447607104049063,1.2997576373423145,0.0,2.8838248940140394,0.4428489939201151
APPL2,3.0311051339951143,2.650909066651034,2.5977706217211605,2.7122128611744465,4.661000166735375,1.8749267563029617
AQP9,3.688918739644978,2.6969277349674785,3.256563430177727,6.252597996416014,3.746565545860941,8.737850396815304
ARAP3,4.4351038821498285,4.274014331719082,4.795234975900126,6.087422351946511,5.705396301320077,8.67610907299104
ARG2,1.0890549179337836,0.0,0.8399364202597164,3.5145458544691746,2.2676638100996707,6.867968068501412
ARHGEF10L,3.481767159845868,2.92149856198202,0.0,6.664037021463834,0.0,4.0931332254986685
ARID3C,1.0031345010616475,1.024749034145052,1.4024431435961868,0.0,4.300599157027934,0.0
ARID5A,7.225570257425797,7.103478168432487,6.5830676051445085,7.656107225916353,7.423572551981277,10.138203304906884
ARL5A,8.082176233868518,7.6541286224142535,7.589862327424849,7.8380421149306905,10.189533298375444,6.92317527401765
ARPC5,0.0,0.0,3.4725656703310337,0.0,0.0,0.0
ARRB1,6.112796527993548,6.7517766152727265,6.367246096244745,8.860130293839333,6.708631321764873,7.18970673824439
ARSB,6.525318549172978,6.555108427993716,6.376983838380407,5.365097979578951,8.791341420270896,6.063609816091939
ARSI,2.1024803760627933,2.268768406850341,1.0371526533995223,1.1940440524233396,5.582666893111084,1.8452584384807689
ASB2,5.973775842684876,5.640892794362097,5.472562260375502,2.903494205655628,7.842997544027343,3.203929304408353
ATP1A1,10.021230947988334,10.239059896561272,10.31273502430523,12.400319564111822,10.506493463647015,10.350074364162698
ATP1B1,3.834341963848649,0.0,0.0,0.0,0.0,0.0
ATP2B4,5.855567935676687,6.279136577878914,6.265620906746566,8.39597726780782,6.406140096081121,5.742047905545562
B3GNT3,2.8642120593627434,3.4275165023893424,3.1684807482231854,6.338855125154035,2.9112134721399765,4.229447476756281
B4GALT6,0.0,0.0,0.0,1.6569039193161945,0.0,0.0
BCAT1,5.216404196031473,5.39282956666629,5.675010059913775,8.373337477792887,5.298924531486665,6.25797235053029
BEND4,0.0,0.2555314128073518,0.48316191348211895,0.0,2.11681881151487,0.0
BEND7,0.0,0.0,0.0,0.0,1.607885989434141,0.0
BGLAP,0.0,0.0,3.174625286749511,0.0,0.0,0.0
BMX,4.061841085044184,2.8099580727769995,3.0385745158204753,5.972311291182376,3.7012174351988896,8.344217979781327
BPIFB4,2.3463593183202716,4.075055131761205,1.9725828239490424,1.2066320103699253,2.1631179630718766,1.89019150248194
BRPF3,0.0,0.0,0.0,3.692352270404056,0.0,0.0
BRS3,0.5470950900967286,0.2754690617934251,0.5269670442975785,0.6229889737531283,0.770119976864234,3.30022331068304
BST2,9.825681924572821,9.543464132860363,9.736055083424972,12.016004746240327,10.24971555007518,10.12891360607125
C1QTNF6,5.036775371089512,5.561894247422581,5.779725617922196,3.6948729480694134,7.552095458540341,4.054770200016407
C1RL,3.531903485242136,3.2059965492601075,3.183395869365808,6.172577323067479,3.6522148502251786,8.61945712182884
C3AR1,4.745791329522536,4.6540125621691715,4.954439858004948,9.385881993317803,4.62747764056834,6.351399779455326
C5AR2,5.407616515582779,5.1487370944166795,5.168087053396798,6.022419909119892,5.063293075178749,8.363816662368743
CA4,0.0,0.0,0.0,0.8407549298512348,0.0,4.713691190510275
CACNB4,1.5289797442935456,1.4943491493648189,1.1433062129302445,0.8836819797360702,4.622959858677087,0.5987679864239998
CACNG4,2.668927076885001,2.51036667413016,3.2858661275854217,2.5582746686265825,5.813988519497329,2.3725852385172157
CADM3,5.283058979358723,4.759593899922697,4.915482894410369,7.8703739480902914,5.2979796030850625,5.836149881446643
CADPS2,1.2509116808384895,0.9314753337520898,0.5379452206413795,0.6814366292117926,2.9157153877615616,0.7254207184165629
CALHM2,8.21612030274662,7.409679570372284,7.469749265496503,10.189502807741132,8.369894318995575,8.092107314852491
CAMK2N2,0.0,0.0,0.0,0.0,2.580583635011089,0.0
CAPN12,1.114802854656507,1.5960980114673564,1.4112223016574261,2.5812213758093736,1.237835746059888,5.112738444124103
CAPN3,0.8024048750950816,0.7064207119214414,0.5647260706565026,4.724100335014295,1.1735421773002621,2.2572951450105854
CARD10,2.242613578268866,2.3895202418176114,1.8716072223519724,4.4309028476971655,3.0093632503283434,8.083572417069831
CARMIL3,0.6642475914654702,0.4386938259128562,0.8170478889129931,0.37485421110041234,2.3809691176174352,0.5132970233055938
CASS4,4.36743240417738,3.9624416471684967,4.176210245133801,4.13323633076958,3.9178116527605864,6.794413815833845
CCDC189,1.894408403676019,1.2964501772574786,1.1113928215076712,1.9134396330723944,1.3456142028576834,4.502187795845995
CCDC191,1.1353369883583422,1.1928318675471588,0.0,0.0,3.451784311272548,0.0
CCDC80,1.0544966349576352,1.0364791254888126,0.904483850289305,1.68842050669479,0.9922441952625188,5.103589831067946
CCDC88A,4.326768904656419,3.8956662837150158,4.067141100408135,7.622126910796991,4.274085557659127,5.00596116332086
CCL17,8.010710124185536,6.196492138449944,5.949042374247771,6.472169342033902,6.40929088917221,4.981260963559815
CCL5,12.360672931844714,11.910957974938615,11.754201046091248,11.383878673638446,16.023166857532857,11.77483114079411
CCL9,3.9420158515909574,2.9163905551311875,3.7604717192606367,7.89455630900857,3.964352611223699,4.920386022769092
CCR1,7.182062941389642,6.352186940780296,6.379550095535558,9.416824520980956,7.001126230895418,11.756947916116019
CCR9,7.3428734136090945,7.349746950228662,9.291935958811777,6.931244045682776,7.255429915655464,6.472489482339897
CD101,4.625948711205902,4.8761916160619085,4.811231849831644,5.741864763278347,4.497394304917573,8.495230640753164
CD177,5.0810637660589215,4.395151532793135,4.294753916622888,4.507512734053177,4.4619778982180875,7.9035007432038356
CD209C,0.0,0.0,0.0,0.0,2.069244664079789,0.0
CD300C2,8.122849711697336,7.664518627323269,7.569225945140044,12.268847436103567,8.378803183109598,10.421832857000647
CD33,5.3255865324352865,4.652842490949499,4.895065062306623,7.069302014116871,5.630290602607246,10.549832959631612
CD40LG,7.326337342165836,9.213387102011207,6.8805228589958265,7.113333018600033,6.6036501245211605,7.620961484556078
CD59,8.306871061902827,7.982959183661187,7.825842448346827,11.831172931528975,9.674467289454743,9.971907305474973
CD70,0.0,0.0,0.0,0.0,1.632629633887108,0.0
