2024-06-11 13:22:26,543 dev0    INFO original: (30295, 53)
2024-06-11 13:22:26,545 dev0    INFO sample selection: (30295, 19)
2024-06-11 13:22:26,554 dev0    INFO trimming: (30295, 19)
2024-06-11 13:22:26,699 pipeline    INFO method: CV, outlier:True, n_top: 1000
2024-06-11 13:22:26,704 pipeline    INFO target_cells: ['CD4+ T cell', 'Hepatocyte', 'Dendritic cell', 'Hepatoblast', 'Stem cell', 'Kupffer cell', 'Natural killer cell', 'B cell', 'Monocyte', 'Regulatory T (Treg) cell', 'Hepatic stellate cell', 'Bile duct cell', 'Monocyte-derived macrophage', 'Neutrophil', 'Macrophage', 'Resident memory CD8+ T cell', 'Vascular endothelial cell', 'Megakaryocyte', 'Mast cell', 'Erythroblast', 'Artery cell', 'Early erythrocyte', 'Portal vein cell', 'Basophil', 'Megakaryocyte progenitor cell', 'Microglial cell', 'Innate lymphoid cell 1', 'Fibroblast', 'Naive T(Th0) cell', 'Effector memory T cell', 'Memory T cell', 'Natural killer T(NKT) cell', 'Liver sinusoid endothelial cell(LSECs)', 'Macrovascular endothelial cell (MaVECs)', 'Vascular smooth muscle cell(VSMC)'], n_genes: 1217
2024-06-11 13:22:26,773 pipeline    INFO minmax_scaling: 10
2024-06-11 13:22:28,588 pipeline    INFO <iter: 1> log-likelihood: [-613511.7162807565, -432481.31977594475, -417995.3704157686, -413843.09134465375, -410536.16357424256, -408894.75515647477, -408217.5756298209, -406279.0344828644, -406388.69958682207, -405874.48261316924]
2024-06-11 13:22:30,368 pipeline    INFO <iter: 2> log-likelihood: [-614761.6661789842, -431988.47016809485, -418522.94061823725, -414059.1914523705, -410888.33861335024, -409587.2746255964, -408478.7004209704, -407456.0570861883, -406455.33619347826, -405171.31005215365]
2024-06-11 13:22:32,144 pipeline    INFO <iter: 3> log-likelihood: [-614332.5820057276, -432865.3962727633, -419811.6471591422, -415596.8327148442, -411605.79848138563, -410007.59332404844, -409268.41721197666, -408500.83073204727, -408702.0255107992, -408987.834351767]
2024-06-11 13:22:33,945 pipeline    INFO <iter: 4> log-likelihood: [-613734.433533487, -432167.99022160075, -418654.94698175293, -414388.31923595426, -410619.9274911231, -409251.43444136454, -409752.38857854763, -407716.76673171157, -407073.6916077706, -406181.4210584583]
2024-06-11 13:22:35,708 pipeline    INFO <iter: 5> log-likelihood: [-614270.7154148928, -431459.78652718535, -418398.3782393913, -414924.6605790648, -411426.60480856046, -408977.8468380705, -407886.87012419984, -406448.1769938937, -405407.85757709894, -405803.0328706964]
2024-06-11 13:22:37,464 pipeline    INFO <iter: 6> log-likelihood: [-614064.0310911122, -432705.1070427298, -418116.5635589353, -413546.1407525982, -409776.4165461217, -407956.78195255867, -407222.18850157503, -405898.4050031496, -406096.58079159586, -405301.45209468587]
2024-06-11 13:22:39,233 pipeline    INFO <iter: 7> log-likelihood: [-614239.7424816062, -433200.47989105206, -419379.36359453603, -413701.48709752725, -410691.91861789493, -409291.7219073658, -408107.89153423655, -407017.3349876995, -405935.238788669, -405296.9214521532]
2024-06-11 13:22:40,979 pipeline    INFO <iter: 8> log-likelihood: [-614829.980162379, -432156.83797405084, -418870.6455713248, -413917.5705218123, -410312.01371930033, -409413.6417871157, -409219.8586289072, -407872.53786482534, -408028.2044274696, -406709.64136869955]
2024-06-11 13:22:42,686 pipeline    INFO <iter: 9> log-likelihood: [-614145.5164042949, -431487.28684927954, -417623.8881949623, -413083.9049168506, -410648.75862947706, -408561.4272651498, -407620.668457983, -406216.269087396, -405928.486870277, -405228.2482885903]
2024-06-11 13:22:44,436 pipeline    INFO <iter: 10> log-likelihood: [-614988.1883837371, -431070.47277627815, -416765.3584694771, -412644.6681541257, -410168.465497465, -408365.1916592945, -408272.52345394634, -407532.8596380583, -406942.66773744154, -407556.686623944]
2024-06-11 13:22:44,497 pipeline    INFO n_ensemble: 10, n_add_topics: 3, n_iter: 100
2024-06-11 13:22:44,794 pipeline    INFO deconv_norm_range: ['Neutrophil', 'Monocyte', 'Natural killer cell', 'Kupffer cell']
2024-06-11 13:22:44,794 pipeline    INFO facs_norm_range: ['Neutrophil', 'Monocyte', 'NK', 'Kupffer']
2024-06-11 13:22:44,794 pipeline    INFO res_names: [['Neutrophil'], ['Monocyte'], ['Natural killer cell'], ['Kupffer cell']]
2024-06-11 13:22:44,794 pipeline    INFO facs_names: [['Neutrophil'], ['Monocyte'], ['NK'], ['Kupffer']]
